City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ixtapa,20.7,-105.2,75.22,89,100,5.01,MX,2022-01-19 23:50:07
1,Karaton,-6.3424,106.1045,79.95,93,97,5.17,ID,2022-01-19 23:50:07
2,Ushuaia,-54.8,-68.3,53.26,58,0,17.27,AR,2022-01-19 23:45:13
3,Busselton,-33.65,115.3333,78.04,52,2,9.98,AU,2022-01-19 23:50:08
4,Pacific Grove,36.6177,-121.9166,65.43,75,0,1.01,US,2022-01-19 23:50:08
5,Venado Tuerto,-33.7456,-61.9688,76.78,83,98,2.55,AR,2022-01-19 23:50:08
6,Bredasdorp,-34.5322,20.0403,66.27,88,27,6.91,ZA,2022-01-19 23:50:08
7,Mataura,-46.1927,168.8643,56.48,80,99,8.84,NZ,2022-01-19 23:50:09
8,Jamestown,-15.9387,-5.7168,70.02,77,0,13.4,SH,2022-01-19 23:50:09
9,Vaini,-21.2,-175.2,82.04,82,4,19.19,TO,2022-01-19 23:50:09
10,Egaña,10.7472,122.0098,79.25,73,60,2.8,PH,2022-01-19 23:50:09
11,Macheng,31.1783,115.0319,41.86,83,1,4.29,CN,2022-01-19 23:50:10
12,Keti Bandar,24.1447,67.4497,71.92,85,2,20.58,PK,2022-01-19 23:50:10
13,Victoria,-4.6167,55.45,78.06,89,40,10.36,SC,2022-01-19 23:50:10
14,Truro,45.3669,-63.2654,24.51,63,91,8.05,CA,2022-01-19 23:49:50
15,Punta Arenas,-53.15,-70.9167,55.51,54,0,9.22,CL,2022-01-19 23:48:40
16,Nikolskoye,59.7035,30.7861,38.88,92,100,11.86,RU,2022-01-19 23:50:11
17,Bambous Virieux,-20.3428,57.7575,80.22,94,40,1.14,MU,2022-01-19 23:50:11
18,Kapaa,22.0752,-159.319,79.48,74,75,3.0,US,2022-01-19 23:45:16
19,Fairbanks,64.8378,-147.7164,7.61,84,75,0.0,US,2022-01-19 23:47:08
20,Talnakh,69.4865,88.3972,-2.79,97,100,5.88,RU,2022-01-19 23:50:11
21,Kirakira,-10.4544,161.9205,85.28,71,45,4.63,SB,2022-01-19 23:46:07
22,Yaan,7.3833,8.5667,77.61,21,94,10.42,NG,2022-01-19 23:50:12
23,Avarua,-21.2078,-159.775,80.65,83,75,12.66,CK,2022-01-19 23:50:12
24,Rikitea,-23.1203,-134.9692,76.57,77,100,7.14,PF,2022-01-19 23:50:12
25,Lithgow,-33.4833,150.15,68.09,81,98,14.92,AU,2022-01-19 23:50:13
26,Albany,-35.0169,117.8917,68.43,73,0,6.91,AU,2022-01-19 23:50:13
27,Hambantota,6.1241,81.1185,73.42,82,95,10.16,LK,2022-01-19 23:50:13
28,Tessalit,20.1986,1.0114,58.19,27,5,12.84,ML,2022-01-19 23:50:14
29,Hobart,-42.8794,147.3294,70.02,61,75,4.61,AU,2022-01-19 23:50:08
30,Arraial do Cabo,-22.9661,-42.0278,76.96,94,20,14.97,BR,2022-01-19 23:50:14
31,Chokurdakh,70.6333,147.9167,-32.48,96,67,4.43,RU,2022-01-19 23:50:15
32,Espanola,46.2584,-81.7665,9.09,80,94,9.8,CA,2022-01-19 23:50:15
33,Thompson,55.7435,-97.8558,-16.44,69,0,6.91,CA,2022-01-19 23:50:16
34,Christchurch,-43.5333,172.6333,63.32,56,40,5.01,NZ,2022-01-19 23:49:54
35,Saint-Philippe,-21.3585,55.7679,76.59,85,69,3.04,RE,2022-01-19 23:50:16
36,Saskylakh,71.9167,114.0833,-14.73,94,97,8.55,RU,2022-01-19 23:50:16
37,La Palma,8.4028,-78.1453,77.13,84,44,9.55,PA,2022-01-19 23:50:16
