City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,83.05,51,7,9.17,AU,2022-01-18 16:44:46
1,Tilichiki,60.4667,166.1,-18.98,88,5,9.13,RU,2022-01-18 16:44:46
2,Hilo,19.7297,-155.09,69.53,82,100,5.75,US,2022-01-18 16:44:46
3,Bambous Virieux,-20.3428,57.7575,82.22,89,75,4.61,MU,2022-01-18 16:43:35
4,Shingu,33.7333,135.9833,39.9,79,4,6.42,JP,2022-01-18 16:44:47
5,Jamestown,42.097,-79.2353,29.52,64,100,7.0,US,2022-01-18 16:44:47
6,Bossangoa,6.4926,17.4552,81.81,18,3,5.06,CF,2022-01-18 16:44:47
7,Saint George,37.1041,-113.5841,51.53,75,100,0.0,US,2022-01-18 16:41:01
8,Napasar,27.9667,73.55,61.41,27,1,3.91,IN,2022-01-18 16:44:47
9,Hamilton,39.1834,-84.5333,36.59,71,20,1.99,US,2022-01-18 16:44:48
10,Hay River,60.8156,-115.7999,-27.42,68,0,3.44,CA,2022-01-18 16:44:48
11,Hofn,64.2539,-15.2082,36.05,58,100,17.65,IS,2022-01-18 16:44:48
12,Huamachuco,-7.8,-78.0667,62.28,53,91,6.42,PE,2022-01-18 16:44:48
13,Chuy,-33.6971,-53.4616,75.6,79,100,14.38,UY,2022-01-18 16:44:49
14,Los Llanos De Aridane,28.6585,-17.9182,66.13,74,75,8.99,ES,2022-01-18 16:44:49
15,Rikitea,-23.1203,-134.9692,77.41,78,100,15.43,PF,2022-01-18 16:44:49
16,Atuona,-9.8,-139.0333,78.51,75,73,21.5,PF,2022-01-18 16:44:49
17,Praya,14.9215,-23.5087,77.54,65,75,19.57,CV,2022-01-18 16:44:50
18,Bluff,-46.6,168.3333,62.8,96,99,6.62,NZ,2022-01-18 16:44:50
19,Elk Point,42.6833,-96.6836,41.54,44,46,9.48,US,2022-01-18 16:44:50
20,Tuktoyaktuk,69.4541,-133.0374,-20.2,76,75,5.75,CA,2022-01-18 16:44:50
21,Hobart,-42.8794,147.3294,54.27,70,40,10.36,AU,2022-01-18 16:44:51
22,Clyde River,70.4692,-68.5914,-16.37,69,75,14.97,CA,2022-01-18 16:44:51
23,Ushuaia,-54.8,-68.3,55.02,71,75,29.93,AR,2022-01-18 16:42:35
24,Sao Filipe,14.8961,-24.4956,74.53,74,69,11.54,CV,2022-01-18 16:44:51
25,San Luis,-33.295,-66.3356,54.9,82,100,13.85,AR,2022-01-18 16:42:21
26,Barrow,71.2906,-156.7887,-12.98,70,100,11.5,US,2022-01-18 16:40:01
27,Fare,-16.7,-151.0167,76.06,89,100,18.19,PF,2022-01-18 16:44:51
28,Gunjur,13.2019,-16.7339,96.87,20,0,6.91,GM,2022-01-18 16:44:52
29,La Ronge,55.1001,-105.2842,-10.95,77,100,10.36,CA,2022-01-18 16:44:52
30,Pevek,69.7008,170.3133,-34.47,97,21,2.71,RU,2022-01-18 16:44:52
31,Verkhnevilyuysk,63.4453,120.3167,-23.1,94,6,5.46,RU,2022-01-18 16:44:53
32,Karratha,-20.7377,116.8463,81.5,64,1,7.67,AU,2022-01-18 16:44:53
33,Bengkulu,-3.8004,102.2655,75.07,91,100,5.1,ID,2022-01-18 16:43:54
34,Peleduy,59.6289,112.7406,-8.18,89,100,2.37,RU,2022-01-18 16:44:53
35,Port Alfred,-33.5906,26.891,73.15,85,45,24.81,ZA,2022-01-18 16:44:53
36,Tasiilaq,65.6145,-37.6368,15.96,56,7,10.07,GL,2022-01-18 16:44:53
37,Liepaja,56.5419,21.0367,35.65,80,0,5.75,LV,2022-01-18 16:44:54
38,Manado,1.487,124.8455,75.97,94,40,2.3,ID,2022-01-18 16:44:54
39,Mahebourg,-20.4081,57.7,82.26,89,75,4.61,MU,2022-01-18 16:44:54
40,Antofagasta,-23.65,-70.4,72.21,49,24,9.98,CL,2022-01-18 16:44:54
41,Sabzevar,36.2126,57.6819,38.48,93,40,11.5,IR,2022-01-18 16:44:55
42,Touros,-5.1989,-35.4608,86.9,60,38,15.17,BR,2022-01-18 16:44:55
43,Kruisfontein,-34.0033,24.7314,69.24,82,33,14.25,ZA,2022-01-18 16:44:55
44,Chokurdakh,70.6333,147.9167,-40.4,99,77,6.78,RU,2022-01-18 16:44:55
45,Rocha,-34.4833,-54.3333,74.75,75,100,12.46,UY,2022-01-18 16:44:56
46,Zhigansk,66.7697,123.3711,-30.35,97,60,15.66,RU,2022-01-18 16:44:56
47,Puerto Ayora,-0.7393,-90.3518,80.56,82,99,11.01,EC,2022-01-18 16:44:56
48,Saint-Philippe,-21.3585,55.7679,81.99,85,100,6.22,RE,2022-01-18 16:44:57
49,Ilulissat,69.2167,-51.1,8.62,47,40,18.41,GL,2022-01-18 16:44:57
50,Cape Town,-33.9258,18.4232,72.1,56,40,5.99,ZA,2022-01-18 16:40:45
51,Saskylakh,71.9167,114.0833,-9.24,96,65,9.1,RU,2022-01-18 16:44:57
52,Pangnirtung,66.1451,-65.7125,5.0,78,100,6.91,CA,2022-01-18 16:44:57
53,Warmbad,-28.45,18.7333,87.06,22,14,21.68,NA,2022-01-18 16:44:57
54,Hermanus,-34.4187,19.2345,69.91,72,42,20.85,ZA,2022-01-18 16:41:00
55,Torbay,47.6666,-52.7314,37.27,91,100,28.77,CA,2022-01-18 16:44:58
56,Iqaluit,63.7506,-68.5145,-11.31,76,75,5.99,CA,2022-01-18 16:44:58
57,Punta Arenas,-53.15,-70.9167,62.71,51,0,31.07,CL,2022-01-18 16:44:58
58,New Norfolk,-42.7826,147.0587,53.92,64,30,1.99,AU,2022-01-18 16:44:59
59,Weiden,49.6775,12.1567,36.84,93,100,0.0,DE,2022-01-18 16:44:59
60,Sale,34.0389,-6.8166,63.28,82,100,0.0,MA,2022-01-18 16:44:59
61,Ben Tre,10.2333,106.3833,75.11,79,43,8.14,VN,2022-01-18 16:44:59
62,Albany,42.6001,-73.9662,24.8,64,77,5.99,US,2022-01-18 16:44:59
63,Ostrovnoy,68.0531,39.5131,13.41,92,100,10.33,RU,2022-01-18 16:45:00
64,Tshikapa,-6.4167,20.8,71.58,95,100,3.91,CD,2022-01-18 16:45:00
65,Bonthe,7.5264,-12.505,84.96,66,21,13.38,SL,2022-01-18 16:45:00
66,Butaritari,3.0707,172.7902,81.82,79,84,17.65,KI,2022-01-18 16:45:01
67,Vaini,-21.2,-175.2,78.96,94,20,4.61,TO,2022-01-18 16:45:01
68,Ponta Do Sol,32.6667,-17.1,66.0,91,96,15.79,PT,2022-01-18 16:45:01
69,Bredasdorp,-34.5322,20.0403,76.32,50,45,27.63,ZA,2022-01-18 16:45:01
70,Vanimo,-2.6741,141.3028,76.48,91,100,11.97,PG,2022-01-18 16:45:02
71,Tura,25.5198,90.2201,59.49,62,55,2.82,IN,2022-01-18 16:45:02
72,Mataura,-46.1927,168.8643,62.47,99,99,2.24,NZ,2022-01-18 16:45:03
73,Lebu,-37.6167,-73.65,59.65,53,7,20.29,CL,2022-01-18 16:45:03
74,Qaanaaq,77.484,-69.3632,-16.26,62,40,8.48,GL,2022-01-18 16:45:03
75,Tahe,52.3333,124.7333,-19.05,96,8,3.8,CN,2022-01-18 16:45:03
76,Codrington,-38.2667,141.9667,59.05,74,94,16.33,AU,2022-01-18 16:45:04
77,Kahului,20.8947,-156.47,69.84,83,0,0.0,US,2022-01-18 16:44:49
78,Upernavik,72.7868,-56.1549,6.73,67,100,10.36,GL,2022-01-18 16:45:01
79,Broome,42.2506,-75.833,25.7,75,100,5.99,US,2022-01-18 16:45:04
80,Kaitangata,-46.2817,169.8464,58.95,96,100,4.16,NZ,2022-01-18 16:45:05
